,bnf_code,special_count,non_special_count,special_names,non_special_names
2197,0410030E0AAATAT,1,0,Naltrexone 5mg/5ml oral suspension,
2198,0410030E0AAAUAU,1,0,Naltrexone 1.5mg/5ml oral solution,
2199,0410030E0AAAVAV,1,0,Naltrexone 5mg/5ml oral solution,
2200,0410030E0AAAWAW,1,0,Naltrexone 25mg/5ml oral solution,
2201,0411000D0AAAFAF,1,0,Donepezil 10mg/5ml oral suspension,
2202,0411000F0AAAAAA,1,0,Galantamine 4mg tablets,
2203,0501011P0AAATAT,1,0,Phenoxymethylpenicillin 0.3% eye drops,
2204,0501015P0AAACAC,1,0,Pivmecillinam 200mg/5ml oral suspension,
2205,0501030F0AAAFAF,2,0,"Demeclocycline 300mg/5ml oral suspension, Demeclocycline 300mg/5ml oral solution",
2206,0501030F0AAAGAG,2,0,"Demeclocycline 150mg/5ml oral suspension, Demeclocycline 150mg/5ml oral solution",
2207,0501030F0AAAHAH,2,0,"Demeclocycline 75mg/5ml oral suspension, Demeclocycline 75mg/5ml oral solution",
2208,0501030I0AAAHAH,1,0,Doxycycline 50mg/5ml oral solution,
2209,0501030I0AAAKAK,1,0,Doxycycline 100mg/5ml oral suspension,
2210,0501030I0AAAMAM,1,0,Doxycycline 50mg/5ml oral suspension,
2211,0501030P0AAAFAF,2,0,"Minocycline 50mg/5ml oral suspension, Minocycline 50mg/5ml oral solution",
2212,0501030T0AAAPAP,1,0,Oxytetracycline 125mg/5ml oral suspension,
2213,0501030T0AAAQAQ,1,0,Oxytetracycline 250mg/5ml oral suspension,
2214,0501030T0AAARAR,1,0,Oxytetracycline 500mg/5ml oral suspension,
2215,0501030T0AAATAT,1,0,Oxytetracycline 100mg/5ml oral suspension,
2216,0501030V0AAAAAA,1,0,Tetracycline 250mg capsules,
2217,0501030V0AAARAR,1,0,Tetracycline 125mg/5ml oral solution,
2218,0501040H0AAAWAW,1,0,Gentamicin 50mg/5ml oral solution,
2219,0501040H0AAAXAX,1,0,Gentamicin 62.5mg/5ml oral solution,
2220,0501040H0AAAYAY,1,0,Gentamicin 75mg/5ml oral solution,
2221,0501040H0AAAZAZ,1,0,Gentamicin 30mg/5ml oral suspension,
2222,0501040H0AABABA,1,0,Gentamicin 35mg/5ml oral suspension,
2223,0501040H0AABFBF,1,0,Gentamicin 45mg/5ml oral solution,
2224,0501040N0AAAIAI,1,0,Neomycin 500mg/5ml oral solution,
2225,0501040N0AAAJAJ,1,0,Neomycin 100mg/5ml oral solution,
2226,0501040U0AAAHAH,1,0,Tobramycin 40mg/5ml oral solution,
2227,0501040U0AAAMAM,1,0,Tobramycin 20mg/5ml oral solution,
2228,0501050A0AAAHAH,1,0,Azithromycin 200mg/5ml oral suspension sugar free,
2229,0501060D0AAAEAE,1,0,Clindamycin 75mg/5ml oral solution,
2230,0501060D0AAAFAF,1,0,Clindamycin 20mg/5ml oral solution,
2231,0501060D0AAAGAG,1,0,Clindamycin 300mg/5ml oral solution,
2232,0501060D0AAAHAH,1,0,Clindamycin 150mg/5ml oral solution,
2233,0501060D0AAAIAI,1,0,Clindamycin 400mg/5ml oral solution,
2234,0501060D0AAAJAJ,1,0,Clindamycin 120mg/5ml oral solution,
2235,0501060D0AAALAL,1,0,Clindamycin 60mg/5ml oral solution,
2236,0501060D0AAANAN,1,0,Clindamycin 75mg/5ml oral suspension,
2237,0501060D0AAAPAP,1,0,Clindamycin 450mg/5ml oral solution,
2238,0501060D0AAAQAQ,1,0,Clindamycin 150mg/5ml oral suspension,
2239,0501060D0AAARAR,1,0,Clindamycin 200mg/5ml oral suspension,
2240,0501060D0AAASAS,1,0,Clindamycin 50mg/5ml oral suspension,
2241,0501060D0AAATAT,1,0,Clindamycin 100mg/5ml oral suspension,
2242,0501070AAAAAAAA,1,0,Taurolidine 2% nebuliser liquid,
2243,0501070ABAAAAAA,1,0,Nitazoxanide 500mg tablets,
2244,0501070ABAAABAB,1,0,Nitazoxanide 100mg/5ml oral suspension,
2245,0501070U0AAAHAH,1,0,Vancomycin 50mg/5ml oral solution,
2246,0501070U0AAAKAK,2,0,"Vancomycin 250mg/5ml oral solution, Vancomycin 250mg/5ml oral suspension",
2247,0501070U0AAALAL,2,0,"Vancomycin 125mg/5ml oral solution, Vancomycin 125mg/5ml oral suspension",
2248,0501070U0AAAMAM,1,0,Vancomycin 62.5mg/5ml oral solution,
2249,0501070X0AAACAC,1,0,Rifaximin 100mg/5ml oral suspension,
2250,0501070Z0AAAAAA,1,0,Pristinamycin 500mg tablets,
2251,0501080J0AAAFAF,1,0,Sulfadiazine 150mg/5ml oral suspension,
2252,0501080J0AAAGAG,1,0,Sulfadiazine 500mg/5ml oral suspension,
2253,0501080J0AAAHAH,1,0,Sulfadiazine 250mg/5ml oral suspension,
2254,0501080V0AAADAD,1,0,Sulfapyridine 250mg capsules,
2255,0501080W0AAAMAM,2,0,"Trimethoprim 200mg/5ml oral suspension, Trimethoprim 200mg/5ml oral solution",
2256,0501080W0AAANAN,2,0,"Trimethoprim 20mg/5ml oral suspension, Trimethoprim 20mg/5ml oral solution",
2257,0501080W0AAAPAP,2,0,"Trimethoprim 240mg/5ml oral suspension, Trimethoprim 240mg/5ml oral solution",
2258,0501080W0AAAQAQ,2,0,"Trimethoprim 7mg/5ml oral suspension, Trimethoprim 7mg/5ml oral solution",
2259,0501090H0AAARAR,2,0,"Ethambutol 500mg/5ml oral solution, Ethambutol 500mg/5ml oral suspension",
2260,0501090H0AAASAS,2,0,"Ethambutol 400mg/5ml oral solution, Ethambutol 400mg/5ml oral suspension",
2261,0501090H0AAATAT,1,0,Ethambutol 375mg/5ml oral solution,
2262,0501090H0AAAVAV,2,0,"Ethambutol 200mg/5ml oral suspension, Ethambutol 200mg/5ml oral solution",
2263,0501090H0AAAWAW,1,0,Ethambutol 25mg/5ml oral solution,
2264,0501090H0AAAXAX,2,0,"Ethambutol 600mg/5ml oral solution, Ethambutol 600mg/5ml oral suspension",
2265,0501090H0AAAYAY,1,0,Ethambutol 350mg/5ml oral solution,
2266,0501090H0AAAZAZ,2,0,"Ethambutol 300mg/5ml oral solution, Ethambutol 300mg/5ml oral suspension",
2267,0501090H0AABABA,2,0,"Ethambutol 250mg/5ml oral solution, Ethambutol 250mg/5ml oral suspension",
2268,0501090H0AABBBB,1,0,Ethambutol 450mg/5ml oral solution,
2269,0501090H0AABCBC,1,0,Ethambutol 150mg/5ml oral solution,
2270,0501090H0AABDBD,1,0,Ethambutol 100mg/5ml oral solution,
2271,0501090H0AABEBE,1,0,Ethambutol 700mg/5ml oral solution,
2272,0501090H0AABFBF,1,0,Ethambutol 125mg/5ml oral solution,
2273,0501090H0AABGBG,1,0,Ethambutol 50mg/5ml oral solution,
2274,0501090H0AABHBH,1,0,Ethambutol 150mg/5ml oral suspension,
2275,0501090H0AABIBI,1,0,Ethambutol 700mg/5ml oral suspension,
2276,0501090I0AAAAAA,1,0,Ethionamide 250mg tablets,
2277,0501090K0AABIBI,1,0,Isoniazid 50mg/5ml oral suspension,
2278,0501090K0AABJBJ,2,0,"Isoniazid 100mg/5ml oral solution, Isoniazid 100mg/5ml oral suspension",
2279,0501090K0AABKBK,1,0,Isoniazid 130mg/5ml oral solution,
2280,0501090K0AABLBL,2,0,"Isoniazid 150mg/5ml oral solution, Isoniazid 150mg/5ml oral suspension",
2281,0501090K0AABMBM,2,0,"Isoniazid 200mg/5ml oral solution, Isoniazid 200mg/5ml oral suspension",
2282,0501090K0AABNBN,1,0,Isoniazid 17.5mg/5ml oral solution,
2283,0501090K0AABPBP,1,0,Isoniazid 135mg/5ml oral solution,
2284,0501090K0AABQBQ,1,0,Isoniazid 110mg/5ml oral solution,
2285,0501090K0AABRBR,1,0,Isoniazid 87.5mg/5ml oral solution,
2286,0501090K0AABSBS,1,0,Isoniazid 220mg/5ml oral solution,
2287,0501090K0AABTBT,1,0,Isoniazid 300mg/5ml oral solution,
2288,0501090K0AABUBU,1,0,Isoniazid 180mg/5ml oral solution,
2289,0501090K0AABVBV,2,0,"Isoniazid 75mg/5ml oral solution, Isoniazid 75mg/5ml oral suspension",
2290,0501090K0AABWBW,1,0,Isoniazid 250mg/5ml oral solution,
2291,0501090K0AABXBX,1,0,Isoniazid 60mg/5ml oral solution,
2292,0501090K0AABYBY,1,0,Isoniazid 500mg/5ml oral solution,
2293,0501090K0AABZBZ,1,0,Isoniazid 120mg/5ml oral solution,
2294,0501090K0AACACA,1,0,Isoniazid 270mg/5ml oral solution,
2295,0501090K0AACBCB,1,0,Isoniazid 140mg/5ml oral solution,
2296,0501090K0AACCCC,1,0,Isoniazid 80mg/5ml oral solution,
2297,0501090K0AACDCD,1,0,Isoniazid 25mg/5ml oral solution,
2298,0501090K0AACECE,1,0,Isoniazid 125mg/5ml oral solution,
2299,0501090K0AACFCF,1,0,Isoniazid 260mg/5ml oral solution,
2300,0501090K0AACGCG,1,0,Isoniazid 175mg/5ml oral solution,
2301,0501090K0AACJCJ,1,0,Isoniazid 400mg/5ml oral solution,
2302,0501090K0AACKCK,1,0,Isoniazid 170mg/5ml oral solution,
2303,0501090K0AACLCL,1,0,Isoniazid 27mg/5ml oral solution,
2304,0501090K0AACMCM,1,0,Isoniazid 375mg/5ml oral solution,
2305,0501090K0AACPCP,1,0,Isoniazid 40mg/5ml oral solution,
2306,0501090K0AACQCQ,1,0,Isoniazid 30mg/5ml oral solution,
2307,0501090K0AACRCR,1,0,Isoniazid 30.5mg/5ml oral solution,
2308,0501090K0AACSCS,1,0,Isoniazid 119mg/5ml oral solution,
2309,0501090K0AACTCT,1,0,Isoniazid 85mg/5ml oral solution,
2310,0501090K0AACUCU,1,0,Isoniazid 50mg/5ml oral solution,
2311,0501090N0AAA7A7,2,0,"Pyrazinamide 175mg/5ml oral suspension, Pyrazinamide 175mg/5ml oral solution",
2312,0501090N0AAA8A8,2,0,"Pyrazinamide 750mg/5ml oral suspension, Pyrazinamide 750mg/5ml oral solution",
2313,0501090N0AAA9A9,2,0,"Pyrazinamide 50mg/5ml oral suspension, Pyrazinamide 50mg/5ml oral solution",
2314,0501090N0AABABA,2,0,"Pyrazinamide 150mg/5ml oral suspension, Pyrazinamide 150mg/5ml oral solution",
2315,0501090N0AABBBB,2,0,"Pyrazinamide 500mg/5ml oral solution, Pyrazinamide 500mg/5ml oral suspension",
2316,0501090N0AABCBC,2,0,"Pyrazinamide 1g/5ml oral suspension, Pyrazinamide 1g/5ml oral solution",
2317,0501090N0AABDBD,2,0,"Pyrazinamide 375mg/5ml oral suspension, Pyrazinamide 375mg/5ml oral solution",
2318,0501090N0AABEBE,2,0,"Pyrazinamide 350mg/5ml oral suspension, Pyrazinamide 350mg/5ml oral solution",
2319,0501090N0AABFBF,2,0,"Pyrazinamide 200mg/5ml oral suspension, Pyrazinamide 200mg/5ml oral solution",
2320,0501090N0AABGBG,2,0,"Pyrazinamide 450mg/5ml oral suspension, Pyrazinamide 450mg/5ml oral solution",
2321,0501090N0AABHBH,2,0,"Pyrazinamide 125mg/5ml oral suspension, Pyrazinamide 125mg/5ml oral solution",
2322,0501090N0AABIBI,2,0,"Pyrazinamide 100mg/5ml oral suspension, Pyrazinamide 100mg/5ml oral solution",
2323,0501090N0AABJBJ,2,0,"Pyrazinamide 300mg/5ml oral suspension, Pyrazinamide 300mg/5ml oral solution",
2324,0501090N0AABKBK,2,0,"Pyrazinamide 250mg/5ml oral suspension, Pyrazinamide 250mg/5ml oral solution",
2325,0501090N0AABLBL,2,0,"Pyrazinamide 75mg/5ml oral suspension, Pyrazinamide 75mg/5ml oral solution",
2326,0501090N0AABMBM,2,0,"Pyrazinamide 1.5g/5ml oral suspension, Pyrazinamide 1.5g/5ml oral solution",
2327,0501090N0AABPBP,2,0,"Pyrazinamide 600mg/5ml oral suspension, Pyrazinamide 600mg/5ml oral solution",
2328,0501090N0AABQBQ,2,0,"Pyrazinamide 675mg/5ml oral suspension, Pyrazinamide 675mg/5ml oral solution",
2329,0501090N0AABRBR,2,0,"Pyrazinamide 425mg/5ml oral suspension, Pyrazinamide 425mg/5ml oral solution",
2330,0501090N0AABSBS,2,0,"Pyrazinamide 625mg/5ml oral suspension, Pyrazinamide 625mg/5ml oral solution",
2331,0501090N0AABTBT,2,0,"Pyrazinamide 400mg/5ml oral suspension, Pyrazinamide 400mg/5ml oral solution",
2332,0501090N0AABUBU,2,0,"Pyrazinamide 275mg/5ml oral suspension, Pyrazinamide 275mg/5ml oral solution",
2333,0501090N0AABVBV,2,0,"Pyrazinamide 490mg/5ml oral suspension, Pyrazinamide 490mg/5ml oral solution",
2334,0501090N0AABWBW,2,0,"Pyrazinamide 850mg/5ml oral suspension, Pyrazinamide 850mg/5ml oral solution",
2335,0501090N0AABZBZ,2,0,"Pyrazinamide 420mg/5ml oral suspension, Pyrazinamide 420mg/5ml oral solution",
2336,0501090N0AACACA,2,0,"Pyrazinamide 650mg/5ml oral suspension, Pyrazinamide 650mg/5ml oral solution",
2337,0501090N0AACBCB,2,0,"Pyrazinamide 430mg/5ml oral suspension, Pyrazinamide 430mg/5ml oral solution",
2338,0501090N0AACCCC,2,0,"Pyrazinamide 700mg/5ml oral suspension, Pyrazinamide 700mg/5ml oral solution",
2339,0501090N0AACDCD,2,0,"Pyrazinamide 312.5mg/5ml oral suspension, Pyrazinamide 312.5mg/5ml oral solution",
2340,0501090N0AACECE,2,0,"Pyrazinamide 1.4g/5ml oral suspension, Pyrazinamide 1.4g/5ml oral solution",
2341,0501090N0AACFCF,2,0,"Pyrazinamide 105mg/5ml oral suspension, Pyrazinamide 105mg/5ml oral solution",
2342,0501090N0AACGCG,2,0,"Pyrazinamide 91mg/5ml oral suspension, Pyrazinamide 91mg/5ml oral solution",
2343,0501090N0AACHCH,2,0,"Pyrazinamide 1.25g/5ml oral suspension, Pyrazinamide 1.25g/5ml oral solution",
2344,0501090Q0AAAGAG,2,0,"Rifabutin 60mg/5ml oral suspension, Rifabutin 60mg/5ml oral solution",
2345,0501090Q0AAAJAJ,2,0,"Rifabutin 50mg/5ml oral suspension, Rifabutin 50mg/5ml oral solution",
2346,0501090Q0AAALAL,2,0,"Rifabutin 75mg/5ml oral suspension, Rifabutin 75mg/5ml oral solution",
2347,0501090Q0AAAUAU,2,0,"Rifabutin 150mg/5ml oral suspension, Rifabutin 150mg/5ml oral solution",
2348,0501090Q0AAAVAV,2,0,"Rifabutin 90mg/5ml oral suspension, Rifabutin 90mg/5ml oral solution",
2349,0501090Q0AAAZAZ,2,0,"Rifabutin 100mg/5ml oral suspension, Rifabutin 100mg/5ml oral solution",
2350,0501090R0AAAKAK,2,0,"Rifampicin 150mg/5ml oral suspension, Rifampicin 150mg/5ml oral solution",
2351,0501090R0AAAMAM,2,0,"Rifampicin 120mg/5ml oral suspension, Rifampicin 120mg/5ml oral solution",
2352,0501090R0AAANAN,2,0,"Rifampicin 200mg/5ml oral suspension, Rifampicin 200mg/5ml oral solution",
2353,0501090R0AAAPAP,2,0,"Rifampicin 300mg/5ml oral suspension, Rifampicin 300mg/5ml oral solution",
2354,0501090R0AAAQAQ,2,0,"Rifampicin 30.5mg/5ml oral suspension, Rifampicin 30.5mg/5ml oral solution",
2355,0501090R0AAARAR,2,0,"Rifampicin 480mg/5ml oral suspension, Rifampicin 480mg/5ml oral solution",
2356,0501090R0AAAUAU,2,0,"Rifampicin 210mg/5ml oral solution, Rifampicin 210mg/5ml oral suspension",
2357,0501100C0AAAAAA,1,0,Clofazimine 100mg capsules,
2358,0501100C0AAACAC,1,0,Clofazimine 50mg capsules,
2359,0501100H0AAAKAK,2,0,"Dapsone 5mg/5ml oral suspension, Dapsone 5mg/5ml oral solution",
2360,0501100H0AAALAL,1,0,Dapsone 50mg/5ml oral suspension,
2361,0501100H0AAAMAM,1,0,Dapsone 40mg/5ml oral suspension,
2362,0501100H0AAANAN,1,0,Dapsone 75mg/5ml oral suspension,
2363,0501100H0AAAPAP,1,0,Dapsone 20mg/5ml oral suspension,
2364,0501100J0AAAHAH,2,0,"Thalidomide 50mg/5ml oral suspension, Thalidomide 50mg/5ml oral solution",
2365,0501110C0AABJBJ,1,0,Metronidazole 200mg suppositories,
2366,0501110C0AABLBL,1,0,Metronidazole 100mg/5ml oral solution,
2367,0501110C0AABQBQ,1,0,Metronidazole 200mg/5ml oral solution,
2368,0501110C0AABRBR,1,0,Metronidazole 50mg/5ml oral solution,
2369,0501110C0AABSBS,1,0,Metronidazole 500mg/5ml oral suspension,
2370,0501110C0AABTBT,1,0,Metronidazole 100mg/5ml oral suspension,
2371,0501110C0AABUBU,1,0,Metronidazole 50mg/5ml oral suspension,
2372,0501120L0AAANAN,1,0,Ciprofloxacin 40mg/5ml oral suspension,
2373,0501120L0AAAPAP,1,0,Ciprofloxacin 100mg/5ml oral suspension,
2374,0501120L0AAAQAQ,1,0,Ciprofloxacin 500mg/5ml oral suspension,
2375,0501120L0AAATAT,1,0,Ciprofloxacin 125mg/5ml oral suspension,
2376,0501120L0AAAUAU,1,0,Ciprofloxacin 50mg/5ml oral suspension,
2377,0501120L0AAAVAV,1,0,Ciprofloxacin 75mg/5ml oral suspension,
2378,0501120L0AAAWAW,1,0,Ciprofloxacin 60mg/5ml oral suspension,
2379,0501120L0AAAXAX,1,0,Ciprofloxacin 170mg/5ml oral suspension,
2380,0501120L0AABBBB,1,0,Ciprofloxacin 375mg/5ml oral suspension,
2381,0501120L0AABCBC,1,0,Ciprofloxacin 175mg/5ml oral suspension,
2382,0501120L0AABDBD,1,0,Ciprofloxacin 80mg/5ml oral suspension,
2383,0501120L0AABHBH,1,0,Ciprofloxacin 45mg/5ml oral suspension,
2384,0501120L0AABIBI,1,0,Ciprofloxacin 150mg/5ml oral suspension,
2385,0501120L0AABJBJ,1,0,Ciprofloxacin 165mg/5ml oral suspension,
2386,0501120L0AABKBK,1,0,Ciprofloxacin 20mg/5ml oral suspension,
2387,0501120P0AAADAD,2,0,"Ofloxacin 100mg/5ml oral suspension, Ofloxacin 100mg/5ml oral solution",
2388,0501120P0AAAEAE,2,0,"Ofloxacin 250mg/5ml oral suspension, Ofloxacin 250mg/5ml oral solution",
2389,0501120Y0AAADAD,1,0,Moxifloxacin 400mg/5ml oral solution,
2390,0501130R0AAAJAJ,2,0,"Nitrofurantoin 100mg/5ml oral suspension, Nitrofurantoin 100mg/5ml oral solution",
2391,0501130R0AAALAL,2,0,"Nitrofurantoin 15mg/5ml oral suspension, Nitrofurantoin 15mg/5ml oral solution",
2392,0501130R0AAAMAM,2,0,"Nitrofurantoin 25mg/5ml oral suspension, Nitrofurantoin 25mg/5ml oral solution",
2393,0501130R0AAANAN,2,0,"Nitrofurantoin 50mg/5ml oral suspension, Nitrofurantoin 50mg/5ml oral solution",
2394,0501130R0AAAPAP,2,0,"Nitrofurantoin 40mg/5ml oral suspension, Nitrofurantoin 40mg/5ml oral solution",
2395,0501130R0AAAQAQ,2,0,"Nitrofurantoin 18mg/5ml oral suspension, Nitrofurantoin 18mg/5ml oral solution",
2396,0501130R0AAARAR,2,0,"Nitrofurantoin 5mg/5ml oral suspension, Nitrofurantoin 5mg/5ml oral solution",
2397,0501130R0AAASAS,2,0,"Nitrofurantoin 13mg/5ml oral suspension, Nitrofurantoin 13mg/5ml oral solution",
2398,0501130R0AAATAT,2,0,"Nitrofurantoin 10mg/5ml oral suspension, Nitrofurantoin 10mg/5ml oral solution",
2399,0501130R0AAAUAU,2,0,"Nitrofurantoin 12mg/5ml oral suspension, Nitrofurantoin 12mg/5ml oral solution",
2400,0501130R0AAAVAV,2,0,"Nitrofurantoin 20mg/5ml oral suspension, Nitrofurantoin 20mg/5ml oral solution",
2401,0501130R0AAAWAW,2,0,"Nitrofurantoin 6.5mg/5ml oral suspension, Nitrofurantoin 6.5mg/5ml oral solution",
2402,0501130R0AAAXAX,2,0,"Nitrofurantoin 7.5mg/5ml oral suspension, Nitrofurantoin 7.5mg/5ml oral solution",
2403,0501130R0AAAZAZ,2,0,"Nitrofurantoin 30mg/5ml oral suspension, Nitrofurantoin 30mg/5ml oral solution",
2404,0501130R0AABABA,2,0,"Nitrofurantoin 9mg/5ml oral suspension, Nitrofurantoin 9mg/5ml oral solution",
2405,0501130R0AABBBB,2,0,"Nitrofurantoin 7mg/5ml oral suspension, Nitrofurantoin 7mg/5ml oral solution",
2406,0501130R0AABCBC,2,0,"Nitrofurantoin 2mg/5ml oral suspension, Nitrofurantoin 2mg/5ml oral solution",
2407,0501130R0AABDBD,2,0,"Nitrofurantoin 2.5mg/5ml oral suspension, Nitrofurantoin 2.5mg/5ml oral solution",
2408,0501130R0AABEBE,2,0,"Nitrofurantoin 12.5mg/5ml oral suspension, Nitrofurantoin 12.5mg/5ml oral solution",
2409,0501130R0AABGBG,2,0,"Nitrofurantoin 22mg/5ml oral suspension, Nitrofurantoin 22mg/5ml oral solution",
2410,0501130R0AABIBI,2,0,"Nitrofurantoin 17mg/5ml oral suspension, Nitrofurantoin 17mg/5ml oral solution",
2411,0501130R0AABJBJ,2,0,"Nitrofurantoin 16mg/5ml oral suspension, Nitrofurantoin 16mg/5ml oral solution",
2412,0501130R0AABKBK,2,0,"Nitrofurantoin 75mg/5ml oral suspension, Nitrofurantoin 75mg/5ml oral solution",
2413,0501130R0AABLBL,2,0,"Nitrofurantoin 8mg/5ml oral suspension, Nitrofurantoin 8mg/5ml oral solution",
2414,0501130R0AABNBN,2,0,"Nitrofurantoin 5.5mg/5ml oral suspension, Nitrofurantoin 5.5mg/5ml oral solution",
2415,0501130R0AABPBP,2,0,"Nitrofurantoin 35mg/5ml oral suspension, Nitrofurantoin 35mg/5ml oral solution",
2416,0501130R0AABQBQ,2,0,"Nitrofurantoin 18.75mg/5ml oral suspension, Nitrofurantoin 18.75mg/5ml oral solution",
2417,0501130R0AABRBR,2,0,"Nitrofurantoin 6mg/5ml oral suspension, Nitrofurantoin 6mg/5ml oral solution",
2418,0501130R0AABSBS,2,0,"Nitrofurantoin 125mg/5ml oral suspension, Nitrofurantoin 125mg/5ml oral solution",
2419,0501130R0AABTBT,2,0,"Nitrofurantoin 9.5mg/5ml oral suspension, Nitrofurantoin 9.5mg/5ml oral solution",
2420,0501130R0AABUBU,2,0,"Nitrofurantoin 32.5mg/5ml oral suspension, Nitrofurantoin 32.5mg/5ml oral solution",
2421,0501130R0AABVBV,2,0,"Nitrofurantoin 4mg/5ml oral suspension, Nitrofurantoin 4mg/5ml oral solution",
2422,0501130R0AABWBW,2,0,"Nitrofurantoin 14mg/5ml oral suspension, Nitrofurantoin 14mg/5ml oral solution",
2423,0501130R0AABXBX,2,0,"Nitrofurantoin 45mg/5ml oral suspension, Nitrofurantoin 45mg/5ml oral solution",
2424,0501130R0AABYBY,2,0,"Nitrofurantoin 24mg/5ml oral suspension, Nitrofurantoin 24mg/5ml oral solution",
2425,0501130R0AACDCD,2,0,"Nitrofurantoin 1mg/5ml oral suspension, Nitrofurantoin 1mg/5ml oral solution",
2426,0501130R0AACECE,2,0,"Nitrofurantoin 13.5mg/5ml oral suspension, Nitrofurantoin 13.5mg/5ml oral solution",
2427,0501130R0AACGCG,2,0,"Nitrofurantoin 11mg/5ml oral suspension, Nitrofurantoin 11mg/5ml oral solution",
2428,0501130R0AACICI,2,0,"Nitrofurantoin 17.5mg/5ml oral suspension, Nitrofurantoin 17.5mg/5ml oral solution",
2429,0501130R0AACJCJ,2,0,"Nitrofurantoin 7.8mg/5ml oral suspension, Nitrofurantoin 7.8mg/5ml oral solution",
2430,0501130S0AAAAAA,1,0,Fosfomycin 500mg capsules,
2431,0502010C0AAACAC,2,0,"Itraconazole 50mg/5ml oral suspension, Itraconazole 50mg/5ml oral solution",
2432,0502010D0AAAEAE,1,0,Voriconazole 1% eye drops preservative free,
2433,0502010D0AAAGAG,1,0,Voriconazole 1% eye drops,
2434,0502020A0AAADAD,1,0,Ketoconazole 100mg/5ml oral suspension,
2435,0502020A0AAAEAE,1,0,Ketoconazole 60mg/5ml oral suspension,
2436,0502020A0AAAFAF,1,0,Ketoconazole 75mg/5ml oral suspension,
2437,0502030A0AAANAN,1,0,Amphotericin B 100mg/ml oral solution,
2438,0502030B0AAAIAI,1,0,"Nystatin 500,000unit tablets",
2439,0502030B0AAAKAK,1,0,Nystatin 250mg capsules,
2440,0502050B0AAAEAE,1,0,Griseofulvin 200mg/5ml oral suspension,
2441,0502050B0AAAHAH,1,0,Griseofulvin 625mg/5ml oral suspension,
2442,0502050B0AAAIAI,1,0,Griseofulvin 50mg/5ml oral suspension,
2443,0502050B0AAAJAJ,1,0,Griseofulvin 300mg/5ml oral suspension,
2444,0502050B0AAAKAK,1,0,Griseofulvin 500mg/5ml oral suspension,
2445,0502050B0AAALAL,1,0,Griseofulvin 100mg/5ml oral suspension,
2446,0502050B0AAAMAM,1,0,Griseofulvin 450mg/5ml oral suspension,
2447,0502050B0AAANAN,1,0,Griseofulvin 112.5mg/5ml oral suspension,
2448,0502050B0AAAPAP,1,0,Griseofulvin 150mg/5ml oral suspension,
2449,0502050B0AAAQAQ,1,0,Griseofulvin 320mg/5ml oral suspension,
2450,0502050B0AAARAR,1,0,Griseofulvin 250mg/5ml oral suspension,
2451,0502050B0AAASAS,1,0,Griseofulvin 140mg/5ml oral suspension,
2452,0502050B0AAATAT,1,0,Griseofulvin 190mg/5ml oral suspension,
2453,0502050B0AAAUAU,1,0,Griseofulvin 280mg/5ml oral suspension,
2454,0502050B0AAAVAV,1,0,Griseofulvin 170mg/5ml oral suspension,
2455,0502050B0AAAWAW,1,0,Griseofulvin 350mg/5ml oral suspension,
2456,0502050B0AAAXAX,1,0,Griseofulvin 230mg/5ml oral suspension,
2457,0502050B0AAAYAY,1,0,Griseofulvin 90mg/5ml oral suspension,
2458,0502050B0AAAZAZ,1,0,Griseofulvin 180mg/5ml oral suspension,
2459,0502050B0AABABA,1,0,Griseofulvin 160mg/5ml oral suspension,
2460,0502050B0AABBBB,1,0,Griseofulvin 220mg/5ml oral suspension,
2461,0502050B0AABCBC,1,0,Griseofulvin 400mg/5ml oral suspension,
2462,0502050B0AABDBD,1,0,Griseofulvin 40mg/5ml oral suspension,
2463,0502050B0AABEBE,1,0,Griseofulvin 35mg/5ml oral suspension,
2464,0502050B0AABFBF,1,0,Griseofulvin 225mg/5ml oral suspension,
2465,0502050B0AABGBG,1,0,Griseofulvin 12.5mg/5ml oral suspension,
2466,0502050B0AABHBH,1,0,Griseofulvin 240mg/5ml oral suspension,
2467,0502050B0AABIBI,1,0,Griseofulvin 80mg/5ml oral suspension,
2468,0502050B0AABJBJ,1,0,Griseofulvin 120mg/5ml oral suspension,
2469,0502050B0AABLBL,1,0,Griseofulvin 390mg/5ml oral suspension,
2470,0502050B0AABMBM,1,0,Griseofulvin 62.5mg/5ml oral suspension,
2471,0502050B0AABNBN,1,0,Griseofulvin 20mg/5ml oral suspension,
2472,0502050B0AABPBP,1,0,Griseofulvin 210mg/5ml oral suspension,
2473,0502050B0AABQBQ,1,0,Griseofulvin 25mg/5ml oral suspension,
2474,0502050B0AABRBR,1,0,Griseofulvin 167mg/5ml oral suspension,
2475,0502050B0AABSBS,1,0,Griseofulvin 235mg/5ml oral suspension,
2476,0502050B0AABTBT,1,0,Griseofulvin 318mg/5ml oral suspension,
2477,0502050B0AABUBU,1,0,Griseofulvin 370mg/5ml oral suspension,
2478,0502050B0AABVBV,1,0,Griseofulvin 75mg/5ml oral suspension,
2479,0502050B0AABWBW,1,0,Griseofulvin 105mg/5ml oral suspension,
2480,0502050B0AABXBX,1,0,Griseofulvin 70mg/5ml oral suspension,
2481,0502050B0AABYBY,1,0,Griseofulvin 700mg/5ml oral suspension,
2482,0502050B0AABZBZ,1,0,Griseofulvin 375mg/5ml oral suspension,
